URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,Cluster,Predicted_Type,Anomaly
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,9,1,0.7999999200000081,0.04761904739229025,34.99999416666764,0.2476190464399093,14.09904528524302,34.99999416666764,52,210,2.014285704693878,3,7.233333298888889,0,News,Normal
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,12,8,0.1999999900000005,0.04587155952781753,12.11111077469137,0.2385321095446511,4.939857153694408,12.11111077469137,104,436,1.965596325766981,7,6.905963286912928,0,News,Normal
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,16,5,0.5238094988662143,0.06158357753201297,28.41666429861131,0.211143694395473,11.45112319720271,28.41666429861131,72,341,1.824046915472003,1,6.630498514280063,0,News,Normal
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,26,12,0.3684210429362884,0.08225108207304961,17.11111047736628,0.3679653671689062,6.991630337814074,17.11111047736628,170,462,2.201298696533986,4,7.779220762382639,1,Blog,Normal
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,9,2,0.636363578512402,0.02330508469638753,10.9767439307734,0.2711864401034186,4.499172148350726,10.9767439307734,128,472,2.059322029535334,3,7.010593205486032,0,News,Normal
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,9,1,0.7999999200000081,0.04761904739229025,34.99999416666764,0.2476190464399093,14.09904528524302,34.99999416666764,52,210,2.014285704693878,3,7.233333298888889,0,News,Normal
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,12,8,0.1999999900000005,0.04587155952781753,12.11111077469137,0.2385321095446511,4.939857153694408,12.11111077469137,104,436,1.965596325766981,7,6.905963286912928,0,News,Normal
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,16,5,0.5238094988662143,0.06158357753201297,28.41666429861131,0.211143694395473,11.45112319720271,28.41666429861131,72,341,1.824046915472003,1,6.630498514280063,0,News,Normal
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,26,12,0.3684210429362884,0.08225108207304961,17.11111047736628,0.3679653671689062,6.991630337814074,17.11111047736628,170,462,2.201298696533986,4,7.779220762382639,1,Blog,Normal
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,61,23,0.4523809469954649,0.07374890248134423,11.3899998861,0.3810359961536119,4.708414352901445,11.3899998861,434,1139,2.263388935677446,1,7.743634760541145,1,Blog,Anomalous
